# header
# energy = 14400.0 eV
# sdd = 0.670000 m
# alpha = 0.072789 deg
# beta = 0.072793 deg
# tth = 2.505728 deg
# qxy0 = 0.319119 /A
# expo_time = 30 sec
# monitor_3_ave = 3.357593 /sec
# px_size = 0.000172 m
# roi_x = 25
# roi_y = 86
# roi_dy = 3
# chamber_id = 0
# data
# idx	beta	intensity	qz
70.000000 0.734658 38.114011 0.102839
71.000000 0.749365 38.114011 0.104712
72.000000 0.764071 45.135014 0.106585
73.000000 0.778778 43.129013 0.108458
74.000000 0.793485 34.102010 0.110331
75.000000 0.808191 33.099010 0.112203
76.000000 0.822897 27.081008 0.114076
77.000000 0.837603 33.099010 0.115949
78.000000 0.852310 42.126013 0.117822
79.000000 0.867016 57.171017 0.119695
80.000000 0.881721 41.123012 0.121568
81.000000 0.896427 49.147015 0.123441
82.000000 0.911133 36.108011 0.125313
83.000000 0.925838 44.132013 0.127186
84.000000 0.940544 51.153015 0.129059
85.000000 0.955249 30.090009 0.130931
86.000000 0.969954 29.087009 0.132804
87.000000 0.984660 32.096010 0.134677
88.000000 0.999365 39.117012 0.136549
89.000000 1.014069 44.132013 0.138422
90.000000 1.028774 56.168017 0.140295
91.000000 1.043479 40.120012 0.142167
92.000000 1.058183 33.099010 0.144040
93.000000 1.072888 47.141014 0.145912
94.000000 1.087592 48.144014 0.147785
95.000000 1.102296 36.108011 0.149657
96.000000 1.117000 42.126013 0.151530
97.000000 1.131704 51.153015 0.153402
98.000000 1.146407 42.126013 0.155274
99.000000 1.161111 47.141014 0.157147
100.000000 1.175814 49.147015 0.159019
101.000000 1.190517 50.150015 0.160891
102.000000 1.205221 42.126013 0.162764
103.000000 1.219924 41.123012 0.164636
104.000000 1.234626 52.156016 0.166508
105.000000 1.249329 42.126013 0.168380
106.000000 1.264031 31.093009 0.170252
107.000000 1.278734 44.132013 0.172124
108.000000 1.293436 31.093009 0.173997
109.000000 1.308138 41.123012 0.175869
110.000000 1.322840 32.096010 0.177741
111.000000 1.337541 47.141014 0.179613
112.000000 1.352243 38.114011 0.181485
113.000000 1.366944 48.144014 0.183357
114.000000 1.381646 42.126013 0.185228
115.000000 1.396347 39.117012 0.187100
116.000000 1.411047 40.120012 0.188972
117.000000 1.425748 38.114011 0.190844
118.000000 1.440449 33.099010 0.192716
119.000000 1.455149 37.111011 0.194587
120.000000 1.469849 46.138014 0.196459
121.000000 1.484549 41.123012 0.198331
122.000000 1.499249 41.123012 0.200202
123.000000 1.513948 41.123012 0.202074
124.000000 1.528648 33.099010 0.203945
